query_id,candidate_id,benchmark,formal_status,solver_result,formal_evidence_level,counterexample_available,counterexample_reproduced,runtime_seconds,timeout,unsupported_reason,schema_version
distributed_affine_divisor__decomp__decomp_query,distributed_affine_divisor__decomp,distributed_affine_divisor,decomposable,unsat,formal_smt,false,true,0.043061,false,,semantic_functional_refactoring_v1
shared_add_add_divisor__decomp__decomp_query,shared_add_add_divisor__decomp,shared_add_add_divisor,decomposable,unsat,formal_smt,false,true,0.117067,false,,semantic_functional_refactoring_v1
bilinear_divisor__decomp__decomp_query,bilinear_divisor__decomp,bilinear_divisor,decomposable,unsat,formal_smt,false,true,0.110836,false,,semantic_functional_refactoring_v1
mac_divisor__decomp__decomp_query,mac_divisor__decomp,mac_divisor,decomposable,unsat,formal_smt,false,true,0.116786,false,,semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp__decomp_query,reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,decomposable,unsat,formal_smt,false,true,0.002711,false,,semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp__decomp_query,boolean_obscured_divisor__decomp,boolean_obscured_divisor,decomposable,unsat,formal_smt,false,true,0.002685,false,,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp__decomp_query,closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,decomposable,unsat,formal_smt,false,true,0.003784,false,,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp__decomp_query,joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,decomposable,unsat,formal_smt,false,true,0.070896,false,,semantic_functional_refactoring_v1
requires_residual_variable__decomp__decomp_query,requires_residual_variable__decomp,requires_residual_variable,decomposable,unsat,formal_smt,false,true,0.004001,false,,semantic_functional_refactoring_v1
requires_multi_output_m__decomp__decomp_query,requires_multi_output_m__decomp,requires_multi_output_m,decomposable,unsat,formal_smt,false,true,0.001655,false,,semantic_functional_refactoring_v1
negative_information_lost__decomp__decomp_query,negative_information_lost__decomp,negative_information_lost,non_decomposable,sat,formal_smt,true,true,0.001157,false,,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp__decomp_query,negative_h_ignores_m__decomp,negative_h_ignores_m,decomposable,unsat,formal_smt,false,true,0.000821,false,,semantic_functional_refactoring_v1
negative_identity_divisor__decomp__decomp_query,negative_identity_divisor__decomp,negative_identity_divisor,decomposable,unsat,formal_smt,false,true,0.000832,false,,semantic_functional_refactoring_v1
